twitter_rank,facebook_rank,other_rank,page_views,number_of_posts,median_page_views_post,cum pageviews,total pageviews,cum percentage pageviews
59,6,45,238871,59,943,238871,1932905,12.36%
52,7,159,169154,119,675.5,408025,1932905,21.11%
3,2,153,165224,13,9448,573249,1932905,29.66%
1,3,152,118696,10,10761,691945,1932905,35.80%
10,4,154,107180,7,5864,799125,1932905,41.34%
6,30,156,94387,31,1265,893512,1932905,46.23%
2,35,155,92604,31,2604,986116,1932905,51.02%
38,19,165,78262,24,252,1064378,1932905,55.07%
11,5,126,46037,14,1864.5,1110415,1932905,57.45%
75,10,163,42456,45,419,1152871,1932905,59.64%
42,87,176,38829,111,106.5,1191700,1932905,61.65%
5,18,157,38050,21,1244,1229750,1932905,63.62%
46,92,174,33779,49,111,1263529,1932905,65.37%
9,153,161,27570,29,524,1291099,1932905,66.80%
14,11,4,27039,19,725,1318138,1932905,68.19%
15,166,162,25807,10,438.5,1343945,1932905,69.53%
62,20,167,22851,68,212,1366796,1932905,70.71%
125,37,22,19927,59,91,1386723,1932905,71.74%
104,38,43,19570,90,71,1406293,1932905,72.76%
85,62,173,19433,58,114.5,1425726,1932905,73.76%
81,161,190,19128,236,35,1444854,1932905,74.75%
93,21,172,17420,37,162,1462274,1932905,75.65%
68,27,169,14414,52,179,1476688,1932905,76.40%
72,95,107,14216,23,55,1490904,1932905,77.13%
112,23,130,12340,46,117.5,1503244,1932905,77.77%
74,41,177,12151,47,88,1515395,1932905,78.40%
34,61,170,11816,21,172,1527211,1932905,79.01%
73,24,168,11631,20,206.5,1538842,1932905,79.61%
198,54,182,10522,63,52,1549364,1932905,80.16%
0,1,1,9973,1,9973,1559337,1932905,80.67%
20,9,31,9647,5,585,1568984,1932905,81.17%
45,51,55,9535,38,179.5,1578519,1932905,81.67%
8,157,160,8554,9,575,1587073,1932905,82.11%
7,64,158,8303,8,738,1595376,1932905,82.54%
22,178,166,7920,24,232,1603296,1932905,82.95%
23,8,7,7836,9,530,1611132,1932905,83.35%
115,50,171,7689,32,167,1618821,1932905,83.75%
50,12,6,7316,15,359,1626137,1932905,84.13%
48,144,37,7284,46,78.5,1633421,1932905,84.51%
35,17,127,7227,16,412,1640648,1932905,84.88%
30,53,9,6157,13,222.5,1646805,1932905,85.20%
83,39,66,5901,36,108,1652706,1932905,85.50%
70,159,88,5869,31,55,1658575,1932905,85.81%
150,60,18,5622,31,75,1664197,1932905,86.10%
51,123,28,5595,30,75,1669792,1932905,86.39%
32,141,40,5519,34,123.5,1675311,1932905,86.67%
58,43,164,5453,17,287,1680764,1932905,86.96%
66,14,67,5427,27,62,1686191,1932905,87.24%
26,13,128,5383,9,389,1691574,1932905,87.51%
31,29,104,5371,22,134.5,1696945,1932905,87.79%
118,58,46,5118,65,76.5,1702063,1932905,88.06%
182,47,59,4999,36,65,1707062,1932905,88.32%
18,55,10,4969,11,261,1712031,1932905,88.57%
106,125,188,4759,46,38,1716790,1932905,88.82%
156,81,132,4692,76,32.5,1721482,1932905,89.06%
82,31,19,4623,18,178.5,1726105,1932905,89.30%
43,26,21,4424,14,205,1730529,1932905,89.53%
55,147,50,4238,11,71,1734767,1932905,89.75%
100,65,24,4201,26,62.5,1738968,1932905,89.97%
161,76,95,4165,53,20,1743133,1932905,90.18%
60,158,178,4068,25,76,1747201,1932905,90.39%
110,72,58,3956,36,68,1751157,1932905,90.60%
89,25,13,3708,13,103,1754865,1932905,90.79%
102,105,187,3659,61,39,1758524,1932905,90.98%
131,57,180,3562,23,69,1762086,1932905,91.16%
39,167,16,3557,15,113,1765643,1932905,91.35%
138,70,183,3335,43,50,1768978,1932905,91.52%
61,28,25,3324,14,145,1772302,1932905,91.69%
12,16,5,3205,4,724.5,1775507,1932905,91.86%
152,71,69,3161,57,41,1778668,1932905,92.02%
19,177,65,3157,10,235.5,1781825,1932905,92.18%
122,181,74,3157,56,17,1784982,1932905,92.35%
77,74,89,3016,44,37.5,1787998,1932905,92.50%
111,15,8,2994,7,241,1790992,1932905,92.66%
67,169,131,2957,31,59,1793949,1932905,92.81%
184,106,76,2906,52,24.5,1796855,1932905,92.96%
132,56,181,2810,36,53,1799665,1932905,93.11%
114,69,49,2808,20,29,1802473,1932905,93.25%
124,46,129,2643,15,120,1805116,1932905,93.39%
160,68,70,2642,47,40,1807758,1932905,93.53%
101,160,186,2492,14,39,1810250,1932905,93.65%
158,34,27,2491,16,94,1812741,1932905,93.78%
123,116,80,2478,47,29,1815219,1932905,93.91%
133,111,193,2466,30,28,1817685,1932905,94.04%
76,49,77,2455,25,61,1820140,1932905,94.17%
33,133,175,2407,20,108,1822547,1932905,94.29%
49,137,75,2372,29,79,1824919,1932905,94.41%
37,36,32,2330,12,99,1827249,1932905,94.53%
29,22,12,2293,8,255,1829542,1932905,94.65%
103,172,192,2291,43,28.5,1831833,1932905,94.77%
159,79,52,2221,35,47,1834054,1932905,94.89%
71,170,185,2216,27,45,1836270,1932905,95.00%
126,0,99,2119,32,12.5,1838389,1932905,95.11%
56,148,35,2115,16,92,1840504,1932905,95.22%
108,0,54,2102,29,33,1842606,1932905,95.33%
99,117,194,2075,23,26,1844681,1932905,95.44%
197,45,60,2005,14,63,1846686,1932905,95.54%
53,0,86,1912,14,69.5,1848598,1932905,95.64%
24,104,23,1903,11,96.5,1850501,1932905,95.74%
119,73,38,1832,36,22.5,1852333,1932905,95.83%
41,168,41,1829,8,87.5,1854162,1932905,95.93%
91,67,179,1815,21,75,1855977,1932905,96.02%
4,0,2,1807,1,1807,1857784,1932905,96.11%
153,80,90,1778,28,31.5,1859562,1932905,96.21%
113,154,197,1760,39,20.5,1861322,1932905,96.30%
128,163,136,1684,63,17,1863006,1932905,96.38%
92,0,53,1672,31,36,1864678,1932905,96.47%
57,0,57,1652,17,70,1866330,1932905,96.56%
121,0,135,1574,43,17,1867904,1932905,96.64%
164,89,111,1564,46,20.5,1869468,1932905,96.72%
86,94,87,1489,25,68,1870957,1932905,96.80%
130,149,112,1469,42,17,1872426,1932905,96.87%
64,32,11,1450,9,146,1873876,1932905,96.95%
27,44,17,1447,7,136,1875323,1932905,97.02%
143,136,120,1434,36,9.5,1876757,1932905,97.10%
145,88,103,1431,44,22,1878188,1932905,97.17%
109,48,105,1422,16,77,1879610,1932905,97.24%
141,118,195,1402,32,24,1881012,1932905,97.32%
134,103,93,1400,37,23,1882412,1932905,97.39%
175,122,97,1357,58,16,1883769,1932905,97.46%
151,119,199,1324,18,14.5,1885093,1932905,97.53%
94,124,68,1282,11,46,1886375,1932905,97.59%
167,85,92,1262,32,23,1887637,1932905,97.66%
187,126,115,1177,35,15,1888814,1932905,97.72%
166,108,196,1167,43,23,1889981,1932905,97.78%
129,33,44,1146,15,43,1891127,1932905,97.84%
186,130,137,1111,57,15,1892238,1932905,97.90%
95,180,191,1101,13,30,1893339,1932905,97.95%
117,96,63,1097,27,18,1894436,1932905,98.01%
69,0,109,1066,19,49,1895502,1932905,98.06%
105,0,48,1065,22,29.5,1896567,1932905,98.12%
185,109,82,1064,32,16.5,1897631,1932905,98.18%
139,145,113,1009,46,16,1898640,1932905,98.23%
135,173,116,1002,37,12.5,1899642,1932905,98.28%
97,0,189,1001,15,37,1900643,1932905,98.33%
47,0,56,981,7,79,1901624,1932905,98.38%
79,171,110,963,20,33,1902587,1932905,98.43%
144,127,100,952,44,9,1903539,1932905,98.48%
0,40,14,948,10,96,1904487,1932905,98.53%
163,121,30,914,40,6,1905401,1932905,98.58%
28,0,29,886,7,124,1906287,1932905,98.62%
147,182,202,861,52,9,1907148,1932905,98.67%
16,0,20,837,3,358,1907985,1932905,98.71%
176,150,119,828,43,10,1908813,1932905,98.75%
0,151,145,809,18,5.5,1909622,1932905,98.80%
44,0,106,740,5,77,1910362,1932905,98.83%
180,165,205,715,62,4,1911077,1932905,98.87%
165,102,62,706,17,30,1911783,1932905,98.91%
78,42,101,655,9,38,1912438,1932905,98.94%
87,162,102,641,9,32,1913079,1932905,98.97%
40,78,34,638,5,115,1913717,1932905,99.01%
177,146,140,636,36,8,1914353,1932905,99.04%
90,0,79,625,14,33.5,1914978,1932905,99.07%
200,100,96,621,13,17,1915599,1932905,99.10%
0,112,150,616,30,11,1916215,1932905,99.14%
63,93,42,609,8,80.5,1916824,1932905,99.17%
183,66,33,600,10,38.5,1917424,1932905,99.20%
193,152,206,556,70,4,1917980,1932905,99.23%
201,107,98,552,17,16,1918532,1932905,99.26%
146,120,118,551,27,10,1919083,1932905,99.28%
80,99,51,521,7,51,1919604,1932905,99.31%
137,135,83,515,25,12,1920119,1932905,99.34%
142,101,124,514,25,12,1920633,1932905,99.37%
171,0,123,514,28,4.5,1921147,1932905,99.39%
120,82,184,466,8,46,1921613,1932905,99.42%
17,0,3,458,1,458,1922071,1932905,99.44%
98,115,91,435,7,31,1922506,1932905,99.46%
140,114,81,427,11,22,1922933,1932905,99.48%
13,0,26,426,1,426,1923359,1932905,99.51%
169,164,143,424,32,6,1923783,1932905,99.53%
196,90,64,422,10,21,1924205,1932905,99.55%
188,97,139,418,22,12.5,1924623,1932905,99.57%
84,83,71,416,10,36.5,1925039,1932905,99.59%
170,86,144,404,37,6,1925443,1932905,99.61%
36,0,85,403,5,98,1925846,1932905,99.63%
178,156,204,395,30,6,1926241,1932905,99.66%
172,139,141,392,35,7,1926633,1932905,99.68%
199,63,61,371,10,24,1927004,1932905,99.69%
65,0,108,323,6,52.5,1927327,1932905,99.71%
192,129,146,311,20,5,1927638,1932905,99.73%
190,143,121,299,19,9,1927937,1932905,99.74%
181,128,84,298,20,7.5,1928235,1932905,99.76%
191,131,142,274,15,7,1928509,1932905,99.77%
189,132,117,266,14,10.5,1928775,1932905,99.79%
154,75,133,264,9,17,1929039,1932905,99.80%
195,176,125,262,34,2.5,1929301,1932905,99.81%
168,138,149,254,14,12,1929555,1932905,99.83%
21,0,15,247,1,247,1929802,1932905,99.84%
0,91,94,242,6,20.5,1930044,1932905,99.85%
157,134,114,235,12,16,1930279,1932905,99.86%
107,0,47,230,7,30,1930509,1932905,99.88%
127,174,200,226,7,12,1930735,1932905,99.89%
148,59,203,223,10,7.5,1930958,1932905,99.90%
174,142,134,210,13,17,1931168,1932905,99.91%
88,179,148,209,7,31,1931377,1932905,99.92%
136,52,198,198,6,20,1931575,1932905,99.93%
194,84,147,192,14,3,1931767,1932905,99.94%
162,155,201,183,14,9.5,1931950,1932905,99.95%
0,77,72,176,5,33,1932126,1932905,99.96%
25,0,39,161,1,161,1932287,1932905,99.97%
54,98,36,157,2,78.5,1932444,1932905,99.98%
96,113,78,124,4,38,1932568,1932905,99.98%
179,140,151,117,15,5,1932685,1932905,99.99%
173,175,122,92,18,5,1932777,1932905,99.99%
116,0,73,89,3,18,1932866,1932905,100.00%
0,110,138,14,1,14,1932880,1932905,100.00%
202,0,207,11,3,1,1932891,1932905,100.00%
149,0,0,7,1,7,1932898,1932905,100.00%
155,0,0,6,1,6,1932904,1932905,100.00%
203,0,0,1,1,1,1932905,1932905,100.00%
0,0,0,0,0,0,1932905,1932905,100.00%
0,0,0,0,0,0,1932905,1932905,100.00%
0,0,0,0,0,0,1932905,1932905,100.00%
0,0,0,0,0,0,1932905,1932905,100.00%
0,0,0,0,0,0,1932905,1932905,100.00%
0,0,0,0,0,0,1932905,1932905,100.00%